LCD,LCD_km,Euc_Dist,Start_X,Start_Y,Season_end,Otter,Age_Start,Sex,Ageglass,SexN,Territorial,Start_date,End_date,Days,Age_end,,,Reloc_Order_start,Reloc_Order_end,Long.Zone,Season_start,Start,,End_Windowbegin,,End_Windowend,
31633,31.633,10724,551930.54,6301436.24,3,8,7,M,2,2,NT,5/19/2011,4/16/2012,333,8,,11:35:00,1,10,8,m,5/19/2011,17:11:00,3/19/2012,23:51:00,7/17/2012,23:51:00
28853,28.853,24123,563077.02,6303882.21,3,8,8,M,2,2,NT,5/21/2012,5/7/2013,351,10,,16:11:00,14,20,8,m,5/21/2012,15:34:00,3/22/2013,22:14:00,7/20/2013,22:14:00
50501,50.501,46213,525989.08,6320583.99,3,10,6,M,2,2,NT,2/16/2012,4/10/2013,419,7,,8:51:00,10,26,8,m,2/16/2012,11:50:00,12/17/2012,18:30:00,4/16/2013,19:30:00
144995,144.995,41262,564478.11,6305533.89,3,10,6,M,2,2,NT,6/16/2012,5/7/2013,325,7,,17:31:00,15,28,8,m,6/16/2012,13:12:00,4/17/2013,19:52:00,8/15/2013,19:52:00
131876,131.876,44817,540720.66,6299426.2,2,10,6,M,2,2,NT,10/19/2011,12/13/2012,421,7,,12:05:00,5,22,8,m,10/19/2011,10:32:00,8/19/2012,17:12:00,12/17/2012,16:12:00
37567,37.567,34702,526113.23,6320293.9,2,10,6,M,2,2,NT,11/12/2011,12/13/2012,397,7,,12:05:00,6,22,8,m,11/12/2011,13:10:00,9/12/2012,20:50:00,1/10/2013,19:50:00
47844,47.844,26863,562910.62,6304147,1,10,6,M,2,2,NT,7/24/2012,5/28/2013,308,7,,16:22:00,19,29,8,m,7/24/2012,10:37:00,5/25/2013,17:17:00,9/22/2013,17:17:00
34490,34.49,31930,536866.65,6329847.06,3,10,6,M,2,2,NT,3/30/2012,4/10/2013,376,7,,8:51:00,11,26,8,m,3/30/2012,11:02:00,1/29/2013,16:42:00,5/29/2013,17:42:00
87616,87.616,19994,557846.69,6323241.99,2,10,6,M,2,2,NT,1/14/2012,1/5/2013,357,7,,12:03:00,8,23,8,m,1/14/2012,12:14:00,11/14/2012,18:54:00,3/14/2013,19:54:00
27188,27.188,11243,542177.96,6298137.89,1,10,6,M,2,2,NT,7/11/2012,5/28/2013,321,7,,16:22:00,16,29,8,m,7/11/2012,13:42:00,5/12/2013,20:22:00,9/9/2013,20:22:00
99560,99.56,11837,526628.74,6314559.7,1,10,6,M,2,2,NT,5/18/2012,5/28/2013,375,7,,16:22:00,14,29,8,m,5/18/2012,19:21:00,3/20/2013,2:01:00,7/18/2013,2:01:00
115642,115.642,46895,565986.98,6300388,3,10,6,M,2,2,NT,4/30/2012,4/16/2013,351,7,,17:27:00,13,27,8,m,4/30/2012,18:23:00,3/2/2013,0:03:00,6/30/2013,1:03:00
45730,45.73,14273,540429.84,6300051.56,2,10,6,M,2,2,NT,2/4/2012,2/20/2013,382,7,,12:06:00,9,25,8,m,2/4/2012,11:33:00,12/5/2012,18:13:00,4/4/2013,19:13:00
104805,104.805,14860,525707.02,6318150.25,1,10,6,M,2,2,NT,7/15/2012,5/28/2013,317,7,,16:22:00,17,29,8,m,7/15/2012,12:01:00,5/16/2013,18:41:00,9/13/2013,18:41:00
47444,47.444,26462,562518.37,6304235.62,1,10,6,M,2,2,NT,7/23/2012,5/28/2013,309,7,,16:22:00,18,29,8,m,7/23/2012,12:16:00,5/24/2013,18:56:00,9/21/2013,18:56:00
122833,122.833,26518,542925.31,6297982.09,1,10,5,M,2,2,NT,8/1/2011,7/15/2012,349,6,,12:01:00,2,17,8,m,8/1/2011,15:30:00,6/1/2012,22:10:00,9/29/2012,22:10:00
33022,33.022,15662,551290.57,6303224.55,1,10,6,M,2,2,NT,7/26/2012,5/28/2013,306,7,,16:22:00,20,29,8,m,7/26/2012,14:26:00,5/27/2013,21:06:00,9/24/2013,21:06:00
32857,32.857,20587,551529.37,6311931.5,3,11,5,F,2,1,F,5/20/2012,4/16/2013,331,6,,17:35:00,14,39,8,f,5/20/2012,12:23:00,3/21/2013,19:03:00,7/19/2013,19:03:00
27251,27.251,23175,562078.06,6307520.65,1,11,5,F,2,1,F,6/16/2012,7/25/2013,404,6,,17:46:00,15,41,8,f,6/16/2012,13:08:00,4/17/2013,19:48:00,8/15/2013,19:48:00
35218,35.218,20234,552513.18,6314503.04,1,11,6,F,2,1,F,10/10/2012,8/15/2013,309,6,,12:50:00,32,43,8,f,10/10/2012,18:23:00,8/12/2013,1:03:00,12/10/2013,0:03:00
24970,24.97,22150,560678.62,6305522.45,1,11,5,F,2,1,F,7/25/2012,5/28/2013,307,6,,18:24:00,20,40,8,f,7/25/2012,11:39:00,5/26/2013,18:19:00,9/23/2013,18:19:00
